[ 2025-03-02 09:54:07,625 ] 76 root - INFO - Loading dataset...
[ 2025-03-02 09:54:08,020 ] 100 root - INFO - Applying data transformations...
[ 2025-03-02 09:54:08,021 ] 16 root - INFO - Performing data cleaning...
[ 2025-03-02 09:54:08,060 ] 28 root - INFO - Creating new features...
[ 2025-03-02 09:54:08,077 ] 39 root - INFO - Encoding and standardizing data...
[ 2025-03-02 09:54:08,187 ] 24 root - INFO - \U0001f680 Model Training and Evaluation Started
[ 2025-03-02 09:54:08,249 ] 39 root - INFO - \u26a1 Training RandomForest...
[ 2025-03-02 09:54:20,218 ] 44 root - INFO - \u2705 RandomForest r2_scor: 0.5892
[ 2025-03-02 09:54:20,218 ] 39 root - INFO - \u26a1 Training GradientBoosting...
[ 2025-03-02 09:54:23,325 ] 44 root - INFO - \u2705 GradientBoosting r2_scor: 0.6113
[ 2025-03-02 09:54:23,325 ] 50 root - INFO - \U0001f3c6 Best Model: GradientBoosting with r2_score: 0.6113
[ 2025-03-02 09:54:23,332 ] 16 root - INFO - \u2705 Object saved successfully at: artifacts\best_model.pkl
[ 2025-03-02 09:54:23,333 ] 54 root - INFO - \u2705 Best model saved at artifacts\best_model.pkl
